name,id,region_id
Великоберезнянський районний суд Закарпатської області,204,7
Виноградівський районний суд Закарпатської області,205,7
Воловецький районний суд Закарпатської області,206,7
Господарський суд Закарпатської області,207,7
Закарпатський окружний адміністративний суд,208,7
Іршавський районний суд Закарпатської області,209,7
Міжгірський районний суд Закарпатської області,210,7
Мукачівський міськрайонний суд Закарпатської області,211,7
Перечинський районний суд Закарпатської області,212,7
Рахівський районний суд Закарпатської області,213,7
Свалявський районний суд Закарпатської області,214,7
Тячівський районний суд Закарпатської області,215,7
Ужгородський міськрайонний суд Закарпатської області,216,7
Хустський районний суд Закарпатської області,217,7
Апеляційний суд Запорізької області,218,8
Бердянський міськрайонний суд Запорізької області,219,8
Василівський районний суд Запорізької області,220,8
Великобілозерський районний суд Запорізької області,221,8
Веселівський районний суд Запорізької області,222,8
Вільнянський районний суд Запорізької області,223,8
Господарський суд Запорізької області,224,8
Гуляйпільський районний суд Запорізької області,225,8
Енергодарський міський суд Запорізької області,226,8
Жовтневий районний суд м. Запоріжжя,227,8
Заводський районний суд м. Запоріжжя,228,8
Запорізький апеляційний господарський суд,229,8
Запорізький окружний адміністративний суд,230,8
Запорізький районний суд Запорізької області,231,8
Кам'янсько-Дніпровський районний суд Запорізької області,232,8
Комунарський районний суд м.Запоріжжя,233,8
Куйбишевський районний суд Запорізької області,234,8
Ленінський районний суд м. Запоріжжя,235,8
Мелітопольський міськрайонний суд Запорізької області,236,8
Михайлівський районний суд Запорізької області,237,8
Новомиколаївський районний суд Запорізької області,238,8
Орджонікідзевський районний суд м. Запоріжжя,239,8
Оріхівський районний суд Запорізької області,240,8
Пологівський районний суд Запорізької області,241,8
Приазовський районний суд Запорізької області,242,8
Приморський районний суд Запорізької області,243,8
Розівський районний суд Запорізької області,244,8
Токмацький районний суд Запорізької області,245,8
Хортицький районний суд м.Запоріжжя,246,8
Чернігівський районний суд Запорізької області,247,8
Шевченківський районний суд м. Запоріжжя,248,8
Якимівський районний суд Запорізької області,249,8
Апеляційний суд Івано-Франківської області,250,9
Богородчанський районний суд Івано-Франківської області,251,9
Болехівський міський суд Івано-Франківської області,252,9
Верховинський районний суд Івано-Франківської області,253,9
Галицький районний суд Івано-Франківської області,254,9
Городенківський районний суд Івано-Франківської області,255,9
Господарський суд Івано-Франківської області,256,9
Долинський районний суд Івано-Франківської області,257,9
Івано-Франківський міський суд Івано-Франківської області,258,9
Івано-Франківський окружний адміністративний суд,259,9
Калуський міськрайонний суд Івано-Франківської області,260,9
Коломийський міськрайонний суд Івано-Франківської області,261,9
Косівський районний суд Івано-Франківської області,262,9
Надвірнянський районний суд Івано-Франківської області,263,9
Рогатинський районний суд Івано-Франківської області,264,9
Рожнятівський районний суд Івано-Франківської області,265,9
Снятинський районний суд Івано-Франківської області,266,9
Тисменицький районний суд Івано-Франківської області,267,9
Тлумацький районний суд Івано-Франківської області,268,9
Яремчанський міський суд Івано-Франківської області,269,9
Апеляційний суд Київської області,270,10
Баришівський районний суд Київської області,271,10
